"ENGINEERING CUTOFF RANK OF CET-2024 - EXT RND ALLOTMENT ( GENERAL )
,1G,1K,1R,2AG,2AK,2AR,,,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,,GMR,SCG,SCK,SCR,STG,STK,STR,
"AD Artificial
Intel, Data Sc",5667,--,--,6953,--,10110,,,8933,--,--,6635,--,--,5357,--,--,4390,--,,8268,25646,--,35785,13531,41216,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AI Artificial
Intelligence",6900,--,--,5497,--,6896,,,8232,--,--,5183,--,--,5034,--,--,4243,9953,,5641,32466,--,33179,16813,--,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR Architecture,--,--,--,--,--,--,,,--,--,--,--,--,--,--,--,--,--,--,,--,--,--,--,--,--,--,
BT Bio Technology,21282,--,40605,25496,--,--,,,22650,--,--,22624,--,--,21630,--,--,16766,43460,,26647,92150,--,192771,58420,--,--,
"CA CS (AI, Machine
Learning)",8334,--,--,5534,--,9643,,,7208,--,--,4060,--,--,4891,--,6572,3963,6053,,4741,22199,35256,32167,22302,--,27520,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE Civil,61515,--,--,59155,--,70392,,,55498,--,--,73502,--,--,65726,--,--,39924,56629,,64503,78109,--,87623,64928,--,--,
CH Chemical,43342,--,--,52000,--,71397,,,42170,--,--,65269,--,--,63969,105827,--,29392,--,,31432,135108,--,189279,37549,--,--,
CS Computers,4889,--,--,5134,5810,7216,,,3512,--,5976,2217,--,--,3382,--,--,2012,5210,,3133,14378,26549,26769,15288,--,21260,
"CY CS- Cyber
Security",--,--,--,6099,--,12911,,,9753,--,--,4868,--,--,4955,--,--,4776,7166,,7586,28625,--,53084,30912,--,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC Electronics,18765,--,--,7620,10112,8118,,,7203,--,--,7580,--,8848,6303,--,9461,4880,5867,,8103,29184,64211,32145,30219,--,34278,
EE Electrical,--,--,33259,28857,--,--,,,26474,--,94431,15002,29298,--,13802,--,--,13087,--,,20191,53189,--,--,50952,--,--,
"EI Elec. Inst.
Engg",16979,65522,--,39984,--,55677,,,40387,--,--,21698,--,--,27937,--,--,16869,--,,19609,68718,--,143972,109445,--,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ET Elec.
Telecommn. Engg.",14611,--,36229,34201,--,--,,,27768,145515,--,13897,--,--,11441,--,--,10198,--,,27919,52810,--,71685,49756,--,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IE Info.Science,6521,--,--,5396,10522,9281,,,5141,--,--,3988,--,4731,4524,--,9067,3712,5573,,4514,26964,43666,29790,32856,--,48585,
"IM Ind. Engg.
Mgmt.",78749,--,--,82143,--,--,,,81603,--,--,67348,--,--,56678,--,144387,55606,63319,,74624,168588,--,--,--,--,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD Med.Elect.,76483,--,--,155750,--,--,,,112933,--,--,76048,--,--,75389,--,--,44732,244479,,65786,224710,--,--,159695,--,--,
ME Mechanical,56702,--,--,56079,--,56595,,,32530,--,--,33600,--,38371,34494,--,--,28351,56329,,32386,102510,114210,155130,206351,--,--,
"SE Aero Space
Engg.",--,--,--,20037,87063,--,,,26194,--,--,21859,--,--,15392,--,--,15222,50862,,17121,55919,--,--,121021,--,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E007  Dayananda Sagar College of Engineering  Bangalore,,,,,,,,,,,,,,,,,,,,,,,,,,,,
